id	name	pop_2000	x	y
1572	Darien	3061	223605.5491	4756618.797
1573	Marcellus	6319	391884.7718	4756548.664
1574	Bethany	1760	244255.2749	4756010.779
1575	Charlton	3954	582361.217	4756260.137
1576	Mendon	8370	292272.5731	4762389.348
1577	Pompey	6159	419991.4768	4752719.599
1578	Columbia	1630	496510.0126	4752801.526
1579	Pavilion	2467	254485.9667	4754681.157
1580	Phelps	7017	332952.6756	4758131.942
1581	Paris	4609	478298.6462	4758609.887
1582	Manchester	9258	321495.9796	4762268.005
1583	Onondaga	21063	401102.5225	4757925.494
1584	Lancaster	39019	203040.5427	4757235.61
1585	West Bloomfield	2549	294400.7085	4752870.462
1586	Stark	767	514577.1886	4751757.374
1587	Amsterdam	5820	567955.2456	4756174.952
1588	Stillwater	7522	606940.1902	4758325.367
1589	Skaneateles	7323	384694.3993	4754242.799
1590	Hopewell	3346	321329.3913	4752053.924
1591	Avon	6443	276771.889	4752836.112
1592	Alden	10470	212580.1644	4756991.564
1593	Cheektowaga	94019	194146.0474	4757438.785
1594	Floyd	3869	473215.5847	4788209.554
1595	Vienna	5819	436848.5699	4787142.215
1596	Harrison	24154	607675.2863	4542142.802
1597	Plattsburgh	18816	622306.2899	4950223.237
1598	Plattsburgh	11190	620477.6884	4950313.145
1599	Dannemora	5149	592933.0425	4954939.927
1600	Saranac	4165	594429.3255	4945360.057
1601	Canaan	1820	626828.4256	4694792.34
1602	Greenville	3316	581521.9924	4693972.976
1603	Avoca	2314	298603.7796	4699105.483
1604	Dayton	1945	170543.7109	4700979.429
1605	Conesville	726	554680.4822	4694051.623
1606	Hector	4854	352595.4237	4703089.689
1607	Urbana	2546	316719.3694	4697794.457
1608	Durham	2592	570251.5035	4691847.475
1609	Stockton	2331	140679.3539	4691946.436
1610	Westfield	5232	121041.1582	4690874.414
1611	Meredith	1588	504661.507	4690280.745
1612	Caroline	2910	390495.3761	4690466.707
1613	Harpersfield	1603	524689.0339	4699977.114
1614	Leon	1380	170116.4845	4691293.654
1615	Richford	1170	401580.1188	4692045.206
1616	Kinderhook	8296	608427.6523	4696300.884
1617	Mansfield	800	189971.4585	4690259.834
1618	Ripley	2636	112202.2242	4686339.573
1619	Bradford	763	324265.4133	4688721.875
1620	Mount Hope	6639	539424.5832	4589952.832
1621	Carmel	33006	606712.9382	4582821.712
1623	Greenville	3800	533942.1894	4580327.616
1624	Southeast	17316	617199.6141	4584465.468
1625	Wawayanda	6273	545006.1773	4581555.328
1626	Franklin	1197	575438.6103	4930889.896
1627	Peru	6370	614625.9286	4937542.438
1628	Glen Cove	26622	615574.1446	4525327.755
1629	New York	8008278	589685.1086	4501931.714
1630	Long Beach	35462	612901.1014	4493950.359
1631	Mooers	3404	605643.6796	4979266.799
1632	Clinton	727	584805.4231	4977861.287
1633	Champlain	5791	623633.9651	4979603.822
1634	Fort Covington	1645	540256.7171	4977538.164
1635	Westville	1823	548389.6408	4976762.183
1636	Constable	1428	556315.7858	4976993.093
1637	Minetto	1663	379974.6957	4806149.594
1638	Bombay	1192	531200.3156	4976574.808
1639	Ellenburg	1812	588153.4368	4965706.163
1640	Brasher	2337	521206.2599	4969239.108
1641	Massena	13121	513093.8143	4978622.067
1642	Chateaugay	2036	573034.1228	4975650.994
1643	Chazy	4181	621741.9153	4968737.41
1644	Louisville	3195	498906.5104	4972571.933
1645	Altona	3160	605390.4868	4967127.015
1646	Burke	1359	564544.0878	4975076.723
1647	Bangor	2147	545025.319	4965061.712
1648	Bellmont	1423	572059.9637	4955382.738
1649	Waddington	2212	484570.423	4964393.275
1650	Malone	14981	556474.65	4960502.376
1651	Orange	1752	332339.7948	4688735.582
1652	Reading	1786	340513.1111	4698203.462
1653	Danby	3007	378654.7764	4687800.752
1654	Thurston	1309	311494.077	4677606.159
1655	Hornby	1742	332243.204	4677634.104
1656	Greenport	4180	599553.8539	4675748.096
1657	Veteran	3271	352411.683	4678720.108
