id	name	pop_2000	x	y
1575	Charlton	3954	582,361.217	4,756,260.137
1576	Mendon	8370	292,272.5731	4,762,389.348
1577	Pompey	6159	419,991.4768	4,752,719.599
1578	Columbia	1630	496,510.0126	4,752,801.526
1579	Pavilion	2467	254,485.9667	4,754,681.157
1580	Phelps	7017	332,952.6756	4,758,131.942
1581	Paris	4609	478,298.6462	4,758,609.887
1582	Manchester	9258	321,495.9796	4,762,268.005
1583	Onondaga	21063	401,102.5225	4,757,925.494
1584	Lancaster	39019	203,040.5427	4,757,235.61
1585	West Bloomfield	2549	294,400.7085	4,752,870.462
1586	Stark	767	514,577.1886	4,751,757.374
1587	Amsterdam	5820	567,955.2456	4,756,174.952
1588	Stillwater	7522	606,940.1902	4,758,325.367
1589	Skaneateles	7323	384,694.3993	4,754,242.799
1590	Hopewell	3346	321,329.3913	4,752,053.924
1591	Avon	6443	276,771.889	4,752,836.112
1592	Alden	10470	212,580.1644	4,756,991.564
1593	Cheektowaga	94019	194,146.0474	4,757,438.785
1594	Floyd	3869	473,215.5847	4,788,209.554
1595	Vienna	5819	436,848.5699	4,787,142.215
1596	Harrison	24154	607,675.2863	4,542,142.802
1597	Plattsburgh	18816	622,306.2899	4,950,223.237
1598	Plattsburgh	11190	620,477.6884	4,950,313.145
1599	Dannemora	5149	592,933.0425	4,954,939.927
1600	Saranac	4165	594,429.3255	4,945,360.057
1601	Canaan	1820	626,828.4256	4,694,792.34
1602	Greenville	3316	581,521.9924	4,693,972.976
1603	Avoca	2314	298,603.7796	4,699,105.483
1604	Dayton	1945	170,543.7109	4,700,979.429
1605	Conesville	726	554,680.4822	4,694,051.623
1606	Hector	4854	352,595.4237	4,703,089.689
1607	Urbana	2546	316,719.3694	4,697,794.457
1608	Durham	2592	570,251.5035	4,691,847.475
1609	Stockton	2331	140,679.3539	4,691,946.436
1610	Westfield	5232	121,041.1582	4,690,874.414
1611	Meredith	1588	504,661.507	4,690,280.745
1612	Caroline	2910	390,495.3761	4,690,466.707
1613	Harpersfield	1603	524,689.0339	4,699,977.114
1614	Leon	1380	170,116.4845	4,691,293.654
1615	Richford	1170	401,580.1188	4,692,045.206
1616	Kinderhook	8296	608,427.6523	4,696,300.884
1617	Mansfield	800	189,971.4585	4,690,259.834
1618	Ripley	2636	112,202.2242	4,686,339.573
1619	Bradford	763	324,265.4133	4,688,721.875
1620	Mount Hope	6639	539,424.5832	4,589,952.832
